"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1121","일반야영장업","03_11_07_P","5600000","CDFI2262132021000016","20211205","","01","영업/정상","13","영업중","","","","","","","","경기도 포천시 군내면 구읍리 456-3","경기도 포천시 군내면 선정비로 58","11152","폴라데이 캠핑장","20220802175953","U","2022-08-04 02:40:00.0","","218963.502102561","487146.926486717","일반야영장업","","생산녹지지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","60.7","","0","","","","","","","0","","","","61",
"1122","일반야영장업","03_11_07_P","4600000","CDFI2262132020000001","20200624","","01","영업/정상","13","영업중","","","","","","","","충청남도 홍성군 서부면 판교리 645-95","충청남도 홍성군 서부면 홍남서로362번길 46","32205","다온세울터 야영장","20220126134828","U","2022-01-28 02:40:00.0","","156470.454252","337762.568142","일반야영장업","","관리지역","0","기타","","농협손해보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"1123","일반야영장업","03_11_07_P","5140000","CDFI2262132020000002","20200522","","01","영업/정상","13","영업중","","","","","","","","경상북도 군위군 고로면 화수리 698-3번지 군위전투전승기념공원","경상북도 군위군 고로면 동부로 81, 군위전투전승기념공원","39057","군위전투전승기념공원 캠핑장","20200522083954","I","2020-05-24 00:23:19.0","","357409.127930531","291409.136056209","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1124","일반야영장업","03_11_07_P","4290000","CDFI2262132020000002","20200624","","01","영업/정상","13","영업중","","","","","033-563-4100","","","강원도 정선군 정선읍 북실리 산 111","","","숲속야영장","20200624151614","I","2020-06-26 00:23:17.0","","344866.083863149","430852.521639623","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1125","일반야영장업","03_11_07_P","3920000","CDFI2262132020000001","20200624","","01","영업/정상","13","영업중","","","","","0318603233","","","경기도 동두천시 상봉암동 15 소요 별앤숲 테마파크","경기도 동두천시 평화로2922번길 76, 소요 별앤숲 테마파크 (상봉암동)","11307","소요별앤숲테마파크","20221026161452","U","2022-10-28 02:40:00.0","","205688.849229552","494097.326264718","일반야영장업","","녹지지역","1","기타","","","사무실","1","0","0","0","","","0","0","","0","0","","0","400.64","","0","","","","","","","0","","","","401",
"1126","일반야영장업","03_11_07_P","5360000","CDFI2262132020000003","20200804","","01","영업/정상","13","영업중","","","","","","","","경상남도 밀양시 단장면 범도리 1100-2 외 1필지","경상남도 밀양시 단장면 아불1길 13","50418","범도아리아글램핑","20210621111800","U","2021-06-23 02:40:00.0","","372986.819559012","226388.521188365","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1127","일반야영장업","03_11_07_P","5060000","CDFI2262132020000003","20200709","","01","영업/정상","13","영업중","","","","","054-430-8805","","","경상북도 김천시 농소면 봉곡리 1214","경상북도 김천시 농소면 벽봉로 1651","39678","이화만리 캠핑 체험마을","20220524132531","U","2022-05-26 02:40:00.0","","306002.867123784","286356.776100252","일반야영장업","","관리지역","","","","","","","","","","","","","","","","","","","7659","","","","","","","","","50000000","","","","7659",
"1128","일반야영장업","03_11_07_P","4160000","CDFI2262132020000006","20200724","","01","영업/정상","13","영업중","","","","","","","","경기도 가평군 설악면 가일리 234-2 입구지노래방","경기도 가평군 설악면 유명산길 124-12","12473","별똥별글램핑&카라반","20220713102633","U","2022-07-15 02:40:00.0","","242907.256570769","454568.113634648","일반야영장업","","","0","","","삼성화재해상보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"1129","일반야영장업","03_11_07_P","5210000","CDFI2262132020000001","20200707","","01","영업/정상","13","영업중","","","","","054-931-2489","","","경상북도 성주군 선남면 도성리 산 15-13","경상북도 성주군 선남면 도성3길 22-27","40047","(주)두산개발 별고을테마파크","20200707190201","I","2020-07-09 00:23:16.0","","323722.417099153","265715.1179527","일반야영장업","","","","","","","","","","","","","","","","","","","","","113.5","","","","","","","","","100000000","","","","114",
"1130","일반야영장업","03_11_07_P","5210000","CDFI2262132020000002","20200709","","01","영업/정상","13","영업중","","","","","","","","경상북도 성주군 금수면 영천리 1075","경상북도 성주군 금수면 성주로 15-4","40058","성주선바위캠핑장","20200709112617","I","2020-07-11 00:23:16.0","","295648.467525534","267865.588833627","일반야영장업","","","","","","","","","","","","","","","","","","","","","2226","","","","","","","","","","","","","2226",
"1131","일반야영장업","03_11_07_P","5360000","CDFI2262132020000002","20200709","","01","영업/정상","13","영업중","","","","","","","","경상남도 밀양시 삼랑진읍 행곡리 산 11-1","경상남도 밀양시 삼랑진읍 행곡3길 65-34","50466","좋은 카라반","20200709174654","I","2020-07-11 00:23:16.0","","373324.601380695","216293.100300065","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1132","일반야영장업","03_11_07_P","3570000","CDFI2262132020000006","20200724","","01","영업/정상","13","영업중","","","","","","","","인천광역시 강화군 화도면 장화리 474","","","노을빛바다애글램핑","20210205085050","U","2021-02-07 02:40:00.0","","144920.105531178","457884.100406106","일반야영장업","","","","","","","","","","","","","","","","","","","","","96.12","","","","","","","","","","","","","96",
"1133","일반야영장업","03_11_07_P","5450000","CDFI2262132020000001","20200630","","01","영업/정상","13","영업중","","","","","","","","경상남도 산청군 시천면 내공리 627-2 두류연수원","경상남도 산청군 시천면 지리산대로1478번길 31-10, 두류연수원","52238","가고파캠핑장","20220121165645","U","2022-01-23 02:40:00.0","","274373.948432185","193736.70092146","일반야영장업","","","0","","","","","0","0","0","1026","","","0","0","","0","0","","0","1026","","0","","","","","","","0","","","","1026",
"1134","일반야영장업","03_11_07_P","5100000","CDFI2262132020000001","20200629","","01","영업/정상","13","영업중","","","","","","","","경상북도 영천시 화북면 정각리 1226-3 (1226-2,1226-4)","","","별무리","20211202211527","U","2021-12-04 02:40:00.0","","","","일반야영장업","","관리지역","1","기타","","","기타","0","0","0","22","","","0","0","","0","0","","0","21.6","","0","","","","","","","100000000","","","","22",
"1135","일반야영장업","03_11_07_P","5050000","CDFI2262132020000002","20200724","","01","영업/정상","13","영업중","","","","","","","","경상북도 경주시 산내면 대현리 1980","경상북도 경주시 산내면 대현동골길 80-19","38187","산내자연캠프","20211016085046","U","2021-10-19 02:40:00.0","","386224.448691173","245582.155035961","일반야영장업","","","0","기타","","","","0","0","0","201","","","0","0","","0","0","","0","3007","","0","","","","","","","0","","","","3007",
"1136","일반야영장업","03_11_07_P","4240000","CDFI2262132020000002","20200724","","01","영업/정상","13","영업중","","","","","033-572-9766","","","강원도 삼척시 근덕면 상맹방리 266-7","강원도 삼척시 근덕면 상맹방길 398-4, 성북구삼척수련원","25932","성북구 삼척수련원","20200724085714","I","2020-07-26 00:23:15.0","","395117.537665921","436257.308690595","일반야영장업","","자연녹지지역","","","","","","","","","445","","","","","","","","","","","","","","","","","","","","","","","",
"1137","일반야영장업","03_11_07_P","4060000","CDFI2262132020000003","20200729","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 광탄면 기산리 387-10","경기도 파주시 광탄면 기산로 367","10953","파주 철갑상어 유원지","20220812093412","U","2022-08-14 02:40:00.0","","193992.440290241","474657.117631708","일반야영장업","","","0","","","농협손보(사고배상책임보험)","","0","0","0","0","","","0","0","","0","0","","0","2058","","0","","","","","","","202124000","","","","2058",
"1138","일반야영장업","03_11_07_P","3920000","CDFI2262132020000002","20200721","","01","영업/정상","13","영업중","","","","","","","","경기도 동두천시 탑동동 432","경기도 동두천시 천보산로456번길 49-1 (탑동동)","11360","돈내미농장","20221026161511","U","2022-10-28 02:40:00.0","","209803.246772823","485690.342272698","일반야영장업","","관리지역","1","기타","","","기타","1","0","0","0","","","0","0","","0","0","","0","129.6","","0","","","","","","","0","","","","130",
"1139","일반야영장업","03_11_07_P","4180000","CDFI2262132020000002","20200721","","01","영업/정상","13","영업중","","","","","","","","강원도 춘천시 동내면 사암리 1080-11","강원도 춘천시 동내면 원창고개길 96-3","24408","춘천별빛캠핑장","20210402163820","U","2021-04-06 02:40:00.0","","267448.925577283","479710.099377243","일반야영장업","","보전녹지지역","","기타","","삼성화재해상보험주식회사","","","","","","","","","","","","","","","2803","","","","","","","","","","","","","2803",
"1140","일반야영장업","03_11_07_P","4050000","CDFI2262132020000001","20200729","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 처인구 백암면 용천리 781","경기도 용인시 처인구 백암면 용천드라마길 25-10","17182","용인대장금파크캠핑장","20220203153434","U","2022-02-05 02:40:00.0","","230163.057935405","402084.606687221","일반야영장업","","","","기타","","삼성화재","","","","","","","","","","","","","","","6995","","","","","","","","","","","","","6995",
"1141","일반야영장업","03_11_07_P","4270000","CDFI2262132020000004","20200803","","01","영업/정상","13","영업중","","","","","","","","강원도 영월군 김삿갓면 주문리 6-1","강원도 영월군 김삿갓면 영월동로 2295-12","26246","주식회사비브릿지레저산업","20210817105641","U","2021-08-19 02:40:00.0","","344575.287295293","403324.501460652","일반야영장업","","관리지역","0","기타","","","","0","0","0","0","","","0","0","","0","0","","0","2922","","0","","","","","","","0","","","","2922",
"1142","일반야영장업","03_11_07_P","4290000","CDFI2262132020000003","20200803","","01","영업/정상","13","영업중","","","","","","","","강원도 정선군 임계면 송계리 882-8 880, 880-1","강원도 정선군 임계면 반천고양로 12","26109","솔미캠핑장","20200803151058","I","2020-08-05 00:23:26.0","","360515.794773458","445337.220096575","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1143","일반야영장업","03_11_07_P","4270000","CDFI2262132020000005","20200803","","01","영업/정상","13","영업중","","","","","","","","강원도 영월군 한반도면 후탄리 555-2 외 4필지","강원도 영월군 한반도면 후탄로 826, 1동 1층","26214","영월한반도캠핑장","20220828152335","U","2022-08-30 02:40:00.0","","320299.798991656","413466.021491627","일반야영장업","","관리지역","1","기타","","한화손해보험","","1","0","0","0","","","0","0","","0","0","","0","58.8","","0","","","","","","","0","","","","59",
"1144","일반야영장업","03_11_07_P","4310000","CDFI2262132020000001","20200715","","01","영업/정상","13","영업중","","","","","","","","강원도 화천군 사내면 삼일리 584","강원도 화천군 사내면 화악산로 621-6","24161","답게","20200715181946","I","2020-07-17 00:23:15.0","","245039.009721249","503990.654476513","일반야영장업","","관리지역","2","기타","","","기타","2","0","","","","","","","","","","","","464.32","","","","","","","","","","","","","464",
"1145","일반야영장업","03_11_07_P","5020000","CDFI2262132020000001","20200626","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 장기면 두원리 35","경상북도 포항시 남구 장기면 동해안로 2816","37947","블루밍","20211007110323","U","2021-10-09 02:40:00.0","","427522.421474372","264051.086369318","일반야영장업","","","0","","","한화손해보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"1146","일반야영장업","03_11_07_P","4510000","CDFI2262132020000003","20200713","","01","영업/정상","13","영업중","","","","","","","","충청남도 보령시 웅천읍 성동리 6-3 수림장식당","충청남도 보령시 웅천읍 내성1길 117, 수림장식당","33503","수림 휴원","20220509180956","U","2022-05-11 02:40:00.0","","166599.501882","305009.046881","일반야영장업","","관리지역","1","","","삼성화재해상보험","기타","1","","","","","","","","","","","","","219.63","","","","","","","","","","","","","220",
"1147","일반야영장업","03_11_07_P","4620000","CDFI2262132020000007","20200712","","01","영업/정상","13","영업중","","","","","","","","충청남도 태안군 남면 진산리 613-114","충청남도 태안군 남면 진산1길 277-112","32151","도담오토캠핑장","20220714091321","U","2022-07-16 02:40:00.0","","","","일반야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","3081","","0","","","","","","","200000000","","","","3081",
"1148","일반야영장업","03_11_07_P","4400000","CDFI2262132020000003","20200713","","01","영업/정상","13","영업중","","","","","","","","충청북도 제천시 청풍면 학현리 368-6","충청북도 제천시 청풍면 학현소야로 206","27215","학현아름마을오토캠핑장","20200713160708","I","2020-07-15 00:23:16.0","","307117.699461","390294.28452","일반야영장업","","관리지역","","기타","","","","","","","","","","","","","","","","","85.81","","","","","","","","","","","","","86",
"1149","일반야영장업","03_11_07_P","3570000","CDFI2262132020000007","20200818","","01","영업/정상","13","영업중","","","","","032-932-2004","","","인천광역시 강화군 삼산면 매음리 1056-58","인천광역시 강화군 삼산면 삼산남로 991","23007","스카이랜드카라반리조트","20210806105734","U","2021-08-08 02:40:00.0","","138225.950376324","465664.13121053","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1150","일반야영장업","03_11_07_P","4200000","CDFI2262132020000002","20200625","","01","영업/정상","13","영업중","","","","","","","","강원도 강릉시 옥계면 금진리 321","강원도 강릉시 옥계면 헌화로 247-11","25633","강릉 금진리321카라반","20200625175521","I","2020-06-27 00:23:16.0","","380332.72346367","461406.906101934","일반야영장업","","준주거지역","","","","","","","","","","","","","","","","","","","291","","","","","","","","","1000000","","","","291",
"1151","일반야영장업","03_11_07_P","4250000","CDFI2262132020000003","20200713","","01","영업/정상","13","영업중","","","","","","","","강원도 홍천군 서면 팔봉리 814-2","강원도 홍천군 서면 오도치길 32","25101","팔봉참살이오토캠핑장","20220428142817","U","2022-04-30 02:40:00.0","","261716.242893473","464640.464217463","일반야영장업","","관리지역","1","기타","","","교육연구시설","1","","","608","","","","","","","","","","9608","","","","","","","","","","","","","9608",
"1152","일반야영장업","03_11_07_P","4160000","CDFI2262132020000008","20200822","","01","영업/정상","13","영업중","","","","","","","","경기도 가평군 북면 도대리 507-3","경기도 가평군 북면 가화로 2575-22","12401","백자동 캠핑장","20200822154900","I","2020-08-25 00:23:26.0","","240661.37214364","495892.861057021","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1153","일반야영장업","03_11_07_P","6520000","CDFI2262132020000002","20200822","","01","영업/정상","13","영업중","","","","","064-794-2372","","","제주특별자치도 서귀포시 대정읍 일과리 1303-6 일과1리대수동경로당","제주특별자치도 서귀포시 대정읍 일과대수로27번길 10","63504","리썸카라반","20210504135231","U","2021-05-06 02:40:00.0","","128184.655061","-28261.2852754","일반야영장업","","자연녹지지역","1","기타","","","","1","","","","","","","","","","","","","33.43","","","","","","","","","","","","","33",
"1154","일반야영장업","03_11_07_P","4260000","CDFI2262132020000002","20200629","","01","영업/정상","13","영업중","","","","","","","","강원도 횡성군 갑천면 병지방리 279","강원도 횡성군 갑천면 병지방길 219-6","25251","귀촌 관광농원","20201005200819","U","2020-10-07 02:40:00.0","","295380.426455896","457719.657235957","일반야영장업","","관리지역","","기타","","","환경위생시설","","","","10","","","","","","","","","","2874","","","","","","","","","300000000","","","","2874",
"1155","일반야영장업","03_11_07_P","3160000","CDFI2262132020000001","20200731","","01","영업/정상","13","영업중","","","","","02-860-2321","","","서울특별시 구로구 항동 149-1","서울특별시 구로구 연동로12길 149 (항동)","08368","천왕산 가족캠핑장","20200731102033","I","2020-08-01 00:23:22.0","","185004.520207159","441962.871693858","일반야영장업","","자연녹지지역","","기타","","","","","","","336","","","","","","","","","","335.52","","","","","","","","","","","","","336",
"1156","일반야영장업","03_11_07_P","4400000","CDFI2262132020000004","20200825","","01","영업/정상","13","영업중","","","","","","","","충청북도 제천시 봉양읍 옥전리 323-4","충청북도 제천시 봉양읍 옥전길 273-17","27106","옥전캠핑장","20210802092222","U","2021-08-04 02:40:00.0","","","","일반야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"1157","일반야영장업","03_11_07_P","4310000","CDFI2262132020000002","20200825","","01","영업/정상","13","영업중","","","","","","","","강원도 화천군 사내면 광덕리 1052-3","강원도 화천군 사내면 검단길 213-31, 광덕그린농원 야영장","24150","광덕그린농원 야영장","20200825094108","I","2020-08-27 00:23:13.0","","241223.484527077","512025.921406114","일반야영장업","","","2","","","","","2","","","","","","","","","","","","","105.44","","","","","","","","","","","","","105",
"1158","일반야영장업","03_11_07_P","4180000","CDFI2262132020000003","20200825","","01","영업/정상","13","영업중","","","","","","","","강원도 춘천시 동면 품걸리 75-1","강원도 춘천시 동면 야시대로 1502","24211","늘솔길 캠핑장","20210412175745","U","2021-04-14 02:40:00.0","","282305.216080683","484130.629012131","일반야영장업","","관리지역","","","","현대해상화재보험","","","","","","","","","","","","","","","7841","","","","","","","","","50000000","","","","7841",
"1159","일반야영장업","03_11_07_P","4250000","CDFI2262132020000005","20200827","","01","영업/정상","13","영업중","","","","","","","","강원도 홍천군 서면 굴업리 357-4","강원도 홍천군 서면 한서로 2141-16","25103","(주)수피아캠핑카라반","20200827130236","I","2020-08-29 00:23:13.0","","","","일반야영장업","","관리지역","","","","","기타","","","","75","","","","","","","","","","2244","","","","","","","","","30000000","","","","2244",
"1160","일반야영장업","03_11_07_P","4170000","CDFI2262132020000005","20200717","","01","영업/정상","13","영업중","","","","","","","","경기도 양평군 양동면 매월리 252-1 , 253, 1045","","","글렌 252(GLEN 252)","20210901144617","U","2021-09-03 02:40:00.0","","264236.887354042","439692.468910677","일반야영장업","","관리지역","0","","","한화손해보험","","0","0","0","0","","","0","0","","0","0","","0","1652","","0","","","","","","","0","","","","1652",
"1161","일반야영장업","03_11_07_P","4740000","CDFI2262132020000003","20200717","","01","영업/정상","13","영업중","","","","","","","","전라북도 무주군 설천면 삼공리 391-2","전라북도 무주군 설천면 구천동1로 44","55557","무주덕유산계곡글램핑","20200717175610","I","2020-07-19 00:23:15.0","","270046.854936","267395.312453","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1162","일반야영장업","03_11_07_P","5370000","CDFI2262132020000001","20200717","","01","영업/정상","13","영업중","","","","","0507-1432-2876","","","경상남도 거제시 장목면 대금리 24","경상남도 거제시 장목면 옥포대첩로 1279-3","53202","매미캠프","20220904170158","U","2022-09-06 02:40:00.0","","355502.064961613","164353.777690973","일반야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","2622","","0","","","","","","","0","","","","2622",
"1163","일반야영장업","03_11_07_P","3570000","CDFI2262132020000005","20200701","","01","영업/정상","13","영업중","","","","","","","","인천광역시 강화군 길상면 동검리 125-95","","","하늘바다글램핑","20200701221942","I","2020-07-03 00:23:16.0","","157194.434326533","453781.882790837","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1164","일반야영장업","03_11_07_P","3580000","CDFI2262132020000002","20200701","","01","영업/정상","13","영업중","","","","","","","","인천광역시 옹진군 영흥면 내리 1542-10","인천광역시 옹진군 영흥면 영흥로757번길 176","23117","모모카라반","20220419151516","U","2022-04-21 02:40:00.0","","150998.882476353","418467.21165973","일반야영장업","","","0","","","삼성화재","","0","0","0","0","","","0","0","","0","0","","0","1754","","0","","","","","","","0","","","","1754",
"1165","일반야영장업","03_11_07_P","5020000","CDFI2262132020000003","20200717","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 청하면 월포리 88","경상북도 포항시 북구 청하면 해안로2428번길 14","37517","올레야영장","20210902145747","U","2021-09-04 02:40:00.0","","413170.515247892","303389.15590103","일반야영장업","","","0","","","삼성화재","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"1166","일반야영장업","03_11_07_P","4510000","CDFI2262132020000002","20200701","","01","영업/정상","13","영업중","","","","","","","","충청남도 보령시 주산면 유곡리 245-49","","","아이사랑캠핑장","20220531151429","U","2022-06-02 02:40:00.0","","","","일반야영장업","","관리지역","1","","","","기타","1","","","","","","","","","","","","","65.32","","","","","","","","","","","","","65",
"1167","일반야영장업","03_11_07_P","5470000","CDFI2262132020000001","20200806","","01","영업/정상","13","영업중","","","","","055-945-8800","","","경상남도 거창군 위천면 장기리 140","경상남도 거창군 위천면 거차1길 23-18","50103","거창서핑파크","20200806135403","I","2020-08-08 00:23:14.0","","275598.572983156","250065.245099707","일반야영장업","","관리지역","","기타","","","","","","","","","","","","","","","","","926.9","","","","","","","","","701390000","","","","927",
"1168","일반야영장업","03_11_07_P","4060000","CDFI2262132020000004","20200806","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 적성면 어유지리 667-2","경기도 파주시 적성면 어삼로 243","10804","강나루야영장","20220317094721","U","2022-03-19 02:40:00.0","","197392.315392775","500151.137945493","일반야영장업","","","0","","","야영장사고배상책임(DB손보)","","0","0","0","182","","","0","0","","0","0","","0","1890","","0","","","","","","","300000000","","","","1890",
"1169","일반야영장업","03_11_07_P","4160000","CDFI2262132020000007","20200821","","01","영업/정상","13","영업중","","","","","","","","경기도 가평군 상면 임초리 600","경기도 가평군 상면 임초밤안골로 207","12447","가평무릉도원캠핑장","20200821182823","I","2020-08-23 00:23:13.0","","232369.403673978","472216.205273208","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1170","일반야영장업","03_11_07_P","5050000","CDFI2262132020000003","20200821","","01","영업/정상","13","영업중","","","","","","","","경상북도 경주시 산내면 대현리 산 480-4","경상북도 경주시 산내면 문복로 956","38187","산내956","20211014211616","U","2021-10-16 02:40:00.0","","385960.81939662","247803.792263917","일반야영장업","","관리지역","1","기타","","","근린생활시설","1","0","0","143","Sannae 956","Campsite Business","0","0","","0","0","","0","2203","","0","","","","","","","0","","","","2203",
"1171","일반야영장업","03_11_07_P","5150000","CDFI2262132020000001","20200804","","01","영업/정상","13","영업중","","","","","054-833-2446","","","경상북도 의성군 단촌면 구계리 598-1","경상북도 의성군 단촌면 고운사길 203-21, 고운마을캠핑장","37320","고운마을캠핑장","20200804101158","I","2020-08-06 00:23:14.0","","","","일반야영장업","","관리지역","1","기타","","","기타","1","","","","","","","","","","","","","1242","","","","","","","","","","","","","1242",
"1172","일반야영장업","03_11_07_P","3920000","CDFI2262132020000003","20200826","","01","영업/정상","13","영업중","","","","","031-860-3259","","","경기도 동두천시 탑동동 산 16 동두천 자연휴양림","경기도 동두천시 탑동가산로 1, 동두천 자연휴양림 (탑동동)","11322","동두천 자연휴양림","20211118132912","U","2021-11-20 02:40:00.0","","212308.383615489","487458.655219528","일반야영장업","","관리지역","1","기타","","","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","590.36","","0","","","","","","","0","","","","590",
"1173","일반야영장업","03_11_07_P","4160000","CDFI2262132020000005","20200716","","01","영업/정상","13","영업중","","","","","","","","경기도 가평군 상면 행현리 910","경기도 가평군 상면 축령로 296","12448","축령산 오션파크","20200716131811","I","2020-07-18 00:23:15.0","","230147.978565442","474650.530093153","일반야영장업","","관리지역","","","","","","","","","","","","","","","","","","","202.8","","","","","","","","","","","","","203",
"1174","일반야영장업","03_11_07_P","4190000","CDFI2262132020000001","20200731","","01","영업/정상","13","영업중","","","","","033-764-5200","","","강원도 원주시 신림면 황둔리 1547","강원도 원주시 신림면 신림황둔로 714-2","26508","원주웰빙캠프","20210120160611","U","2021-01-22 02:40:00.0","","301198.478513675","417034.839685176","일반야영장업","","관리지역","","기타","","","","","","","108","","","","","","","","","","107.96","","","","","","","","","","","","","108",
"1175","일반야영장업","03_11_07_P","4170000","CDFI2262132020000006","20200805","","01","영업/정상","13","영업중","","","","","","","","경기도 양평군 단월면 석산리 215-4 , 215-7","","","양평카라반파파","20201022172011","U","2020-10-24 02:40:00.0","","253314.937333333","460060.481","일반야영장업","","관리지역","","","","MG손해보험주식회사","","","","","","","","","","","","","","","532","","","","","","","","","","","","","532",
"1176","일반야영장업","03_11_07_P","4250000","CDFI2262132020000004","20200731","","01","영업/정상","13","영업중","","","","","","","","강원도 홍천군 내면 율전리 728","강원도 홍천군 내면 밤바치길 737","25169","몽골캠핑장","20200825162657","U","2020-08-27 02:40:00.0","","318715.677606287","478072.496197568","일반야영장업","","관리지역","","기타","","","기타","","","","75","","","","","","","","","","1147","","","","","","","","","","","","","1147",
"1177","일반야영장업","03_11_07_P","4620000","CDFI2262132020000009","20200731","","01","영업/정상","13","영업중","","","","","","","","충청남도 태안군 남면 신장리 산 113-46","충청남도 태안군 남면 몽산포길 63-13","32153","몽산포힐링캠핑장","20220413181246","U","2022-04-15 02:40:00.0","","136469.337889","352407.204261","일반야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"1178","일반야영장업","03_11_07_P","4460000","CDFI2262132020000002","20200824","","01","영업/정상","13","영업중","","","","","","","","충청북도 괴산군 청천면 고성리 73","충청북도 괴산군 청천면 고성4길 4-2","28061","도명산캠핑장","20200824204036","I","2020-08-26 00:23:13.0","","270061.267712","351250.651758","일반야영장업","","관리지역","1","기타","","","기타","1","","","","","","","","","","","","","91.65","","","","","","","","","","","","","92",
"1179","일반야영장업","03_11_07_P","4140000","CDFI2262132020000003","20200831","","01","영업/정상","13","영업중","","","","","","","","경기도 연천군 미산면 마전리 237-2","경기도 연천군 미산면 숭의전로 520-21","11047","연천리버힐캠핑장","20210823155759","U","2021-08-25 02:40:00.0","","198454.156752637","502502.11892699","일반야영장업","","관리지역","","","","","","","","","","","","","","","","","","","2995","","","","","","","","","1300000000","","","","2995",
"1180","일반야영장업","03_11_07_P","5590000","CDFI2262132020000003","20200831","","01","영업/정상","13","영업중","","","","","","","","경기도 양주시 삼숭동 542-1","경기도 양주시 부흥로 2191-46 (삼숭동)","11477","양주 패밀리 캠핑장","20200929095105","U","2020-10-01 02:40:00.0","","208358.770633557","478499.444534598","일반야영장업","","생산녹지지역","1","학교정화(상대)","","농협손해보험주식회사","기타","1","","","24","","","","","","","","","","3467","","","","","","","","","","","","","3467",
"1181","일반야영장업","03_11_07_P","5530000","CDFI2262132016000001","20160407","","01","영업/정상","13","영업중","","","","","0313560768","","","경기도 화성시 비봉면 자안리 147-4","경기도 화성시 비봉면 자청로207번길 21-71","18293","산들래 야영장","20211207111732","U","2021-12-09 02:40:00.0","","190453.548101905","412061.803369033","일반야영장업","","자연녹지지역","0","기타","","농협보험(야영장사고배상책임)","","0","0","0","196","","","0","0","","0","0","","0","196","","0","","","","","","","0","","","","196",
"1182","일반야영장업","03_11_07_P","5530000","CDFI2262132017000001","20170613","","01","영업/정상","13","영업중","","","","","0313578031","","","경기도 화성시 서신면 제부리 20-75","","","카라반캠프","20211022172854","U","2021-10-24 02:40:00.0","","","","일반야영장업","","","0","","","한화손해보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"1183","일반야영장업","03_11_07_P","5530000","CDFI2262132017000002","20171124","","01","영업/정상","13","영업중","","","","","031-357-7263","","","경기도 화성시 서신면 제부리 20-15 일대","경기도 화성시 서신면 해안길 64","18553","글램비글램핑","20211012175911","U","2021-10-14 02:40:00.0","","166965.727778098","407664.73678513","일반야영장업","","","","","","현대해상(야영장사고배상책임)","","","","","","","","","","","","","","","84.96","","","","","","","","","","","","","85",
